position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	tags	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
11	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	MihdvEWT0b0	2021-01-05T21:39:56Z	2021-01-05 21:39:56	Em entrevista à CNN Brasil, ministro da Saúde, Eduardo Pazuello fala sobre vacina contra Covid-19	Em entrevista à CNN Brasil, o ministro da Saúde, Eduardo Pazuello, falou sobre vacina contra #Covid19 e reforçou que todas as vacinas que estiverem registradas na Anvisa e tiverem garantida sua eficácia e segurança serão compradas e distribuídas para todos os brasileiros. Confira!⁣ Saiba mais em gov.br/saude ___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT36S	36	2d	hd	false			5808	68	9	0	22
12	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	MihdvEWT0b0	2021-01-05T21:39:56Z	2021-01-05 21:39:56	Em entrevista à CNN Brasil, ministro da Saúde, Eduardo Pazuello fala sobre vacina contra Covid-19	Em entrevista à CNN Brasil, o ministro da Saúde, Eduardo Pazuello, falou sobre vacina contra #Covid19 e reforçou que todas as vacinas que estiverem registradas na Anvisa e tiverem garantida sua eficácia e segurança serão compradas e distribuídas para todos os brasileiros. Confira!⁣ Saiba mais em gov.br/saude ___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT36S	36	2d	hd	false			5808	68	9	0	22
13	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	MihdvEWT0b0	2021-01-05T21:39:56Z	2021-01-05 21:39:56	Em entrevista à CNN Brasil, ministro da Saúde, Eduardo Pazuello fala sobre vacina contra Covid-19	Em entrevista à CNN Brasil, o ministro da Saúde, Eduardo Pazuello, falou sobre vacina contra #Covid19 e reforçou que todas as vacinas que estiverem registradas na Anvisa e tiverem garantida sua eficácia e segurança serão compradas e distribuídas para todos os brasileiros. Confira!⁣ Saiba mais em gov.br/saude ___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT36S	36	2d	hd	false			5808	68	9	0	22
14	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	MihdvEWT0b0	2021-01-05T21:39:56Z	2021-01-05 21:39:56	Em entrevista à CNN Brasil, ministro da Saúde, Eduardo Pazuello fala sobre vacina contra Covid-19	Em entrevista à CNN Brasil, o ministro da Saúde, Eduardo Pazuello, falou sobre vacina contra #Covid19 e reforçou que todas as vacinas que estiverem registradas na Anvisa e tiverem garantida sua eficácia e segurança serão compradas e distribuídas para todos os brasileiros. Confira!⁣ Saiba mais em gov.br/saude ___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT36S	36	2d	hd	false			5808	68	9	0	22
15	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	MihdvEWT0b0	2021-01-05T21:39:56Z	2021-01-05 21:39:56	Em entrevista à CNN Brasil, ministro da Saúde, Eduardo Pazuello fala sobre vacina contra Covid-19	Em entrevista à CNN Brasil, o ministro da Saúde, Eduardo Pazuello, falou sobre vacina contra #Covid19 e reforçou que todas as vacinas que estiverem registradas na Anvisa e tiverem garantida sua eficácia e segurança serão compradas e distribuídas para todos os brasileiros. Confira!⁣ Saiba mais em gov.br/saude ___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT36S	36	2d	hd	false			5808	68	9	0	22
16	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	MihdvEWT0b0	2021-01-05T21:39:56Z	2021-01-05 21:39:56	Em entrevista à CNN Brasil, ministro da Saúde, Eduardo Pazuello fala sobre vacina contra Covid-19	Em entrevista à CNN Brasil, o ministro da Saúde, Eduardo Pazuello, falou sobre vacina contra #Covid19 e reforçou que todas as vacinas que estiverem registradas na Anvisa e tiverem garantida sua eficácia e segurança serão compradas e distribuídas para todos os brasileiros. Confira!⁣ Saiba mais em gov.br/saude ___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT36S	36	2d	hd	false			5808	68	9	0	22
17	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
18	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
19	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
20	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
21	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
22	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
23	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
24	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
25	UCoa-D_VfMkFrCYodrOC9-mA	Band Jornalismo	ilxDcO-TvBc	2021-01-06T23:32:00Z	2021-01-06 23:32:00	Colapso em Manaus: profissionais da saúde protestam	Profissionais da linha de frente da Saúde protestaram contra o excesso de trabalho em Manaus, onde a covid saiu do controle, mais uma vez.	Manaus,Amazonas,hospitais,saúde,colapso,covid	25	News & Politics	PT1M	60	2d	hd	true	https://i.ytimg.com/vi/ilxDcO-TvBc/maxresdefault.jpg	1	31323	722	19	0	380
26	UC12zKGLhMhDeDidoctM6BrA	Ministério da Saúde	zCKLssMijqg	2021-01-07T00:55:46Z	2021-01-07 00:55:46	Pronunciamento do ministro da Saúde, Eduardo Pazuello - 06.01.2021	___________________________________________________________________________________ Siga o Ministério da Saúde http://www.twitter.com/minsaude http://www.facebook.com/minsaude http://www.instagram.com/minsaude https://www.linkedin.com/company/ministeriodasaude/	SUS,Ministério da Saúde,saúde	29	Nonprofits & Activism	PT4M25S	265	2d	hd	false	https://i.ytimg.com/vi/zCKLssMijqg/maxresdefault.jpg		27934	1243	207	0	338
27	UCR2vSUFSqUMy-sDJEdHeaYA	Paraná no Ar	BwUPdS6pHTQ	2021-01-07T14:45:35Z	2021-01-07 14:45:35	Polícia abre investigação para apurar explosão de cilindros de oxigênio	A polícia abre investigação para apurar a explosão de cilindros de oxigênio. A empresa de cilindros de oxigênio foi destruída pelo fogo. Confira mais detalhes! Ative o sininho para receber novidades e acompanhe as principais notícias. Para ficar bem informado acesse o portal RIC Mais https://ricmais.com.br/ #Curitiba #ParanánoAr #RICMais		24	Entertainment	PT1M32S	92	2d	hd	false	https://i.ytimg.com/vi/BwUPdS6pHTQ/maxresdefault.jpg	1	26	0	0	0	0
28	UCjaWLFTNqLkq3ZY2BJ4NYRg	TV BrasilGov	Xfei-RdoSZo	2021-01-07T21:27:10Z	2021-01-07 21:27:10	Coletiva do ministro da Saúde sobre MP das vacinas	07.01.2021 - O ministro da Saúde, Eduardo Pazuello, fala sobre a Medida Provisória que flexibiliza regras para compra de vacinas e insumos contra a Covid-19. Acompanhe: ------------------------- Bem-vindo ao canal TV BrasilGov no YouTube. Aqui você acompanha as ações e notícias do Governo Federal. ** INSCREVA-SE NO CANAL: https://bit.ly/3ay7WBM E siga a gente nas nossas redes sociais Facebook: @tvbrasilgov Instagram: @tvbrasilgov Twitter: @tvbrasilgov		25	News & Politics	PT1H55M36S	3336	2d	hd	false	https://i.ytimg.com/vi/Xfei-RdoSZo/maxresdefault.jpg		59047			0	191
29	UC_gV70G_Y51LTa3qhu8KiEA	LUCCAS NETO - LUCCAS TOON	powKwQEJEKc	2021-01-08T22:00:08Z	2021-01-08 22:00:08	LUCCAS NETO É O ÚLTIMO GAROTO DA TERRA !!!	Já imaginou você chegar na escola e perceber que é o último garoto da terra? Pois é, aconteceu com o Luccas Neto! Seus amigos sumiram e ele precisa aprender a lidar com isso. Será que as garotas vão ser legais com o luccas? Assista ao episódio porque tá muito legal! OUTROS VÍDEOS DA ESCOLA FANTÁSTICA: NOVA TEMPORADA NA ESCOLA DO LUCCAS (ESCOLA FANTÁSTICA) https://www.youtube.com/watch?v=fkQJqS19ZFI FICAMOS TRANCADOS NA SALA DE AULA NOVA https://www.youtube.com/watch?v=VNxf1_h2mTk DESCOBRIMOS QUE A ESCOLA FANTÁSTICA É MAL ASSOMBRADA https://www.youtube.com/watch?v=GdwASoHJ35w TODOS OS ALUNOS FORAM EXPULSOS DA ESCOLA FANTÁSTICA - PARTE 1 https://www.youtube.com/watch?v=0Bah3b80eM8 BRINCANDO DE SER UM NOVO AVENTUREIRO NA ESCOLA FANTÁSTICA DO LUCCAS (BRINQUE VOCÊ TAMBÉM) https://www.youtube.com/watch?v=lzK7PoSg-2o VOCE TAMBÉM PODE ASSISTIR VIDEOS DE OUTRA FRANQUIA: LUCCAS E GI https://www.youtube.com/playlist?list=PLyvPAJn-CS2TjO9llIkVha9MPwWQhDytI OS AVENTUREIROS: https://www.youtube.com/playlist?list=PLyvPAJn-CS2RelGiwBMObSFZ7J9rRxtBN PRÍNCIPE LU: https://www.youtube.com/playlist?list=PLyvPAJn-CS2RDE1RcxOQogehzRDxBuNys Espero que curtam! Todo mundo usando a imaginação e a criatividade para viver um mundo de magia e fantasia! Aqui você pode viver o seu sonho! Atenção: Além do conteúdo lúdico e de entretenimento, este vídeo contém publicidade. Todos os menores de idade que participam deste vídeo são acompanhados de seus representantes legais, no set de filmagem, durante a gravação. Caso o representante legal não seja o próprio pai, terá sido indicado formalmente, por contrato, pelos pais ou responsáveis para representá-los nas gravações. Atenção: Giovanna Alparone é uma atriz contratada, com direitos de imagem reservados à sua agência. Todos os direitos reservados à LUCCAS NETO STUDIOS.	#AppEscolaFantastica,Luccas neto,O último garoto da terra,A ultima garota da terra,A Última Menina na terra!,O Último Menino na Terra! The LAST GIRL ON EARTH,falhas engraçadas,situações estranhas,vídeo engraçado,serie sobre amigos,video gracioso,comedia,humor,blogger,blogger popular,serie sobre adolescentes,adolescentes,amor,fynny video,school,123go,Televisa Televisión,bromas graciosas,Televisa,pranks,school life,popular girl,cheerleader girl	24	Entertainment	PT9M9S	549	2d	hd	false		1	6184561	95645	12251	0	0
30	UC_gV70G_Y51LTa3qhu8KiEA	LUCCAS NETO - LUCCAS TOON	powKwQEJEKc	2021-01-08T22:00:08Z	2021-01-08 22:00:08	LUCCAS NETO É O ÚLTIMO GAROTO DA TERRA !!!	Já imaginou você chegar na escola e perceber que é o último garoto da terra? Pois é, aconteceu com o Luccas Neto! Seus amigos sumiram e ele precisa aprender a lidar com isso. Será que as garotas vão ser legais com o luccas? Assista ao episódio porque tá muito legal! OUTROS VÍDEOS DA ESCOLA FANTÁSTICA: NOVA TEMPORADA NA ESCOLA DO LUCCAS (ESCOLA FANTÁSTICA) https://www.youtube.com/watch?v=fkQJqS19ZFI FICAMOS TRANCADOS NA SALA DE AULA NOVA https://www.youtube.com/watch?v=VNxf1_h2mTk DESCOBRIMOS QUE A ESCOLA FANTÁSTICA É MAL ASSOMBRADA https://www.youtube.com/watch?v=GdwASoHJ35w TODOS OS ALUNOS FORAM EXPULSOS DA ESCOLA FANTÁSTICA - PARTE 1 https://www.youtube.com/watch?v=0Bah3b80eM8 BRINCANDO DE SER UM NOVO AVENTUREIRO NA ESCOLA FANTÁSTICA DO LUCCAS (BRINQUE VOCÊ TAMBÉM) https://www.youtube.com/watch?v=lzK7PoSg-2o VOCE TAMBÉM PODE ASSISTIR VIDEOS DE OUTRA FRANQUIA: LUCCAS E GI https://www.youtube.com/playlist?list=PLyvPAJn-CS2TjO9llIkVha9MPwWQhDytI OS AVENTUREIROS: https://www.youtube.com/playlist?list=PLyvPAJn-CS2RelGiwBMObSFZ7J9rRxtBN PRÍNCIPE LU: https://www.youtube.com/playlist?list=PLyvPAJn-CS2RDE1RcxOQogehzRDxBuNys Espero que curtam! Todo mundo usando a imaginação e a criatividade para viver um mundo de magia e fantasia! Aqui você pode viver o seu sonho! Atenção: Além do conteúdo lúdico e de entretenimento, este vídeo contém publicidade. Todos os menores de idade que participam deste vídeo são acompanhados de seus representantes legais, no set de filmagem, durante a gravação. Caso o representante legal não seja o próprio pai, terá sido indicado formalmente, por contrato, pelos pais ou responsáveis para representá-los nas gravações. Atenção: Giovanna Alparone é uma atriz contratada, com direitos de imagem reservados à sua agência. Todos os direitos reservados à LUCCAS NETO STUDIOS.	#AppEscolaFantastica,Luccas neto,O último garoto da terra,A ultima garota da terra,A Última Menina na terra!,O Último Menino na Terra! The LAST GIRL ON EARTH,falhas engraçadas,situações estranhas,vídeo engraçado,serie sobre amigos,video gracioso,comedia,humor,blogger,blogger popular,serie sobre adolescentes,adolescentes,amor,fynny video,school,123go,Televisa Televisión,bromas graciosas,Televisa,pranks,school life,popular girl,cheerleader girl	24	Entertainment	PT9M9S	549	2d	hd	false		1	6184561	95645	12251	0	0
31	UC_gV70G_Y51LTa3qhu8KiEA	LUCCAS NETO - LUCCAS TOON	powKwQEJEKc	2021-01-08T22:00:08Z	2021-01-08 22:00:08	LUCCAS NETO É O ÚLTIMO GAROTO DA TERRA !!!	Já imaginou você chegar na escola e perceber que é o último garoto da terra? Pois é, aconteceu com o Luccas Neto! Seus amigos sumiram e ele precisa aprender a lidar com isso. Será que as garotas vão ser legais com o luccas? Assista ao episódio porque tá muito legal! OUTROS VÍDEOS DA ESCOLA FANTÁSTICA: NOVA TEMPORADA NA ESCOLA DO LUCCAS (ESCOLA FANTÁSTICA) https://www.youtube.com/watch?v=fkQJqS19ZFI FICAMOS TRANCADOS NA SALA DE AULA NOVA https://www.youtube.com/watch?v=VNxf1_h2mTk DESCOBRIMOS QUE A ESCOLA FANTÁSTICA É MAL ASSOMBRADA https://www.youtube.com/watch?v=GdwASoHJ35w TODOS OS ALUNOS FORAM EXPULSOS DA ESCOLA FANTÁSTICA - PARTE 1 https://www.youtube.com/watch?v=0Bah3b80eM8 BRINCANDO DE SER UM NOVO AVENTUREIRO NA ESCOLA FANTÁSTICA DO LUCCAS (BRINQUE VOCÊ TAMBÉM) https://www.youtube.com/watch?v=lzK7PoSg-2o VOCE TAMBÉM PODE ASSISTIR VIDEOS DE OUTRA FRANQUIA: LUCCAS E GI https://www.youtube.com/playlist?list=PLyvPAJn-CS2TjO9llIkVha9MPwWQhDytI OS AVENTUREIROS: https://www.youtube.com/playlist?list=PLyvPAJn-CS2RelGiwBMObSFZ7J9rRxtBN PRÍNCIPE LU: https://www.youtube.com/playlist?list=PLyvPAJn-CS2RDE1RcxOQogehzRDxBuNys Espero que curtam! Todo mundo usando a imaginação e a criatividade para viver um mundo de magia e fantasia! Aqui você pode viver o seu sonho! Atenção: Além do conteúdo lúdico e de entretenimento, este vídeo contém publicidade. Todos os menores de idade que participam deste vídeo são acompanhados de seus representantes legais, no set de filmagem, durante a gravação. Caso o representante legal não seja o próprio pai, terá sido indicado formalmente, por contrato, pelos pais ou responsáveis para representá-los nas gravações. Atenção: Giovanna Alparone é uma atriz contratada, com direitos de imagem reservados à sua agência. Todos os direitos reservados à LUCCAS NETO STUDIOS.	#AppEscolaFantastica,Luccas neto,O último garoto da terra,A ultima garota da terra,A Última Menina na terra!,O Último Menino na Terra! The LAST GIRL ON EARTH,falhas engraçadas,situações estranhas,vídeo engraçado,serie sobre amigos,video gracioso,comedia,humor,blogger,blogger popular,serie sobre adolescentes,adolescentes,amor,fynny video,school,123go,Televisa Televisión,bromas graciosas,Televisa,pranks,school life,popular girl,cheerleader girl	24	Entertainment	PT9M9S	549	2d	hd	false		1	6184561	95645	12251	0	0
