channelId	channelTitle	videoId	videoTitle	videoDesc	published	latitude	longitude	locationDescription	language
UCZlWbj-3Z_-ktZrAw4bOz0w	TEOLOGIA & NOT%C3%8DCIAS	PJFZE9CCENQ	Pastores e Igreja Doam  Oxig%C3%AAnio Para Pacientes de Manaus %2523Manaus %2523Caridade %2523Amor %2523F%C3%A9 %2523Esperan%C3%A7a	Confira alguns pastores e igrejas que fizeram doa%C3%A7%C3%B5es para socorrer o povo de Manaus.	2021-01-20T11:29:18Z	-3.1190275	-60.0217314	Manaus	pt
UC58K7l8-bT-9Iy1XOGwCaCw	Igor Monteiro	iZfgyq0W5M8	Chegou o oxig%C3%AAnio enviado pela venezuela e Bol%C3%ADvia	MANAUS-AM%7C A doa%C3%A7%C3%A3o de oxig%C3%AAnio feita pela Venezuela est%C3%A1 a caminho de Manaus, alguns registros foram feitos de uma parada que os cinco caminh%C3%B5es fizeram em um posto em Rorarain%C3%B3polis, e, atravessaram a barreira sanit%C3%A1ria de Jundi%C3%A1, que fica na divisa de Roraima com o Amazonas.%0A%0AEst%C3%A3o sendo encaminhados um total de 107 mil m%C2%B3 de oxig%C3%AAnio doados pelo governo do estado venezuelano de Bol%C3%ADvar. As carretas est%C3%A3o transportando cada uma, cerca de 25 mil metros c%C3%BAbicos, a chegada est%C3%A1 prevista para a noite desta ter%C3%A7a-feira (19).	2021-01-20T05:06:44Z	-3.1190275	-60.0217314	Manaus	undefined
UCfFw7oDRMJdOAsjM45EWd6w	Neidinha Maciel	kkcX1BV2azY	Reportagem completa do domingo espetacular, sobre a crise de oxig%C3%AAnio em Manaus		2021-01-18T22:02:18Z	-3.1190275	-60.0217314	Manaus	pt-PT
UC_koytDcyfbartFWeNn3sjg	Jeff	JbI9X69v4vg	%2523Domingo Espetacular: Roberto Cabrini Em Manaus Falta de oxig%C3%AAnio	Roberto Cabrini um dos maiores rep%C3%B3rteres visita Manaus e mostra a verdade nua e crua da nossa situa%C3%A7%C3%A3o	2021-01-18T11:52:37Z	-3.1190275	-60.0217314	Manaus	undefined
UCGx0IABz9I1QBKx8vqOlRvw	TOP M%C3%8DDIA	d4osxqHRnA0	OXIG%C3%8ANIO PARA MANAUS : VAMOS ORAR POR MANAUS %2523TOPMIDIA %2523OXIGENIOPRAMANAUS	Edit with Vlog Star app%0Ahttps://play.google.com/store/apps/details?id=com.ryzenrise.vlogstar%0A%0A%0A%0A%0A%0Ahttps://www.dci.com.br/dci-mais/vida-e-estilo/espiritualidade/oracao-por-manaus/79146/amp/%0Aora%C3%A7%C3%A3o por manaus: cura e sa%C3%BAde durante a pandemia%0Ahttps://m.facebook.com/verbomanaus/photos/a.478913378818472/3076742382368879/?type=3%0A%C2%A4 vamos orar?? %C2%A4 . continuamos com... - verbo da vida ...%0Ahttps://twitter.com/oficialmir/status/817533775844413440%0Amir oficial on twitter: %22vamos continuar orando por manaus ...%0Ahttps://apublica.org/2021/01/falta-de-oxigenio-em-manaus-e-desumano-pedir-6-mil-reais-num-cilindro/?amp%0Afalta de oxig%C3%AAnio em manaus: %22%C3%A9 desumano pedir 6 mil reais ...%0Ahttps://mais.opovo.com.br/jornal/opiniao/2021/01/16/rev--munguba-jr---ela-voltou.html%0Arev. munguba jr.: ela voltou %7C opiniao %7C opovo+ - o povo mais%0Ahttps://amazonasatual.com.br/em-reuniao-com-prefeito-lideres-evangelicos-decidem-manter-templos-abertos-em-manaus/%0Aem reuni%C3%A3o com prefeito, l%C3%ADderes evang%C3%A9licos decidem manter ...%0A%0A%0A%0A%0A%0A%0A%0A%0A%0A%0Ahttps://goo.gl/search/white+martins+gases+industriais+av.+buriti,+379%0A%F0%9F%93%8D white martins gases industriais%0Aav. buriti, 379%0A(92) 3616-7281%0Ahttps://goo.gl/search/manauar+healthcare+produtos+hospitalares+e+servi%25c3%25a7os+av.+cel.+s%25c3%25a1vio+belota,+53%0A%F0%9F%93%8D manauar healthcare produtos hospitalares e servi%C3%A7os%0Aav. cel. s%C3%A1vio belota, 53%0A(92) 98452-0262%0Ahttps://goo.gl/search/estrutural+gases+r+rio+itui+54+-+revendedor+fogas%0A%F0%9F%93%8D estrutural gases%0Ar rio itui 54 - revendedor fogas%0A(92) 99181-0644%0Ahttps://goo.gl/search/nitron+da+amaz%25c3%25b4nia+e+sul+-+av.+do+cont%25c3%25b4rno+norte%0A%F0%9F%93%8D nitron da amaz%C3%B4nia%0Ae sul - av. do cont%C3%B4rno norte%0A(92) 3615-2322%0Ahttps://goo.gl/search/white+martins+gases+industriais+av.+grande+circular,+1053%0A%F0%9F%93%8D white martins gases industriais%0Aav. grande circular, 1053%0A(92) 3616-7281%0Ahttps://goo.gl/search/carboxi+gases+r.+des.+c%25c3%25a9sar+do+rego,+897%0A%F0%9F%93%8D carboxi gases%0Ar. des. c%C3%A9sar do rego, 897%0A(92) 3618-9394%0Ahttps://goo.gl/search/revendedor+fog%25c3%25a1s+manaus+-+am%0A%F0%9F%93%8D revendedor fog%C3%A1s%0Amanaus - am%0A%0A%0A%0A%0A%0A%0A%0A%0A%0A%2523FACEBOOKRAFAELMENDES%0A%0A%0A%0A%0A%0A%0A%0A%2523INSTAGRAMRAFAMENDES299%0A%0A%0A%0A%0A%0A%0ADEIXA SEU %F0%9F%91%8D NO V%C3%8DDEO%0A%0A%0A%0A%0A%0AATIVA O %F0%9F%94%94 DAS NOTIFICA%C3%87%C3%83O%0A%0A%0A%0A%0A%0A%0ASE INSCREVE NO CANAL E COMPARTILHA COM SEUS AMIGOS %0A%0A%0A%0A%0A%0A%2523OXIGENIOPRAMANAUS %2523VAMOSORARPORMANAUS %2523TOPMIDIA	2021-01-18T00:56:11Z	-3.1190275	-60.0217314	Manaus	undefined
UC0GbXCG2nGBLMaWp1PyCRYw	Christian Schoeller	KWFzxIzL3a4	OXIG%C3%8ANIO EM MANAUS E GLOBO NOJENTA KKKKKKKKKKKKK		2021-01-17T12:25:28Z	-3.1190275	-60.0217314	Manaus	undefined
UCjoxBh58Lk-4vUttF1ABDjg	Daniel Souza	I41Gr8JNgi8	Falta de oxig%C3%AAnio em Manaus	Bolsonaro zomba da situa%C3%A7%C3%A3o de pandemia na qual o Brasil se encontra.%0AMais de 200 mil pessoas mortas e o presidente zomba da situa%C3%A7%C3%A3o	2021-01-17T03:53:48Z	-3.1190275	-60.0217314	Manaus	undefined
UCjhss3kXtJnqMHCC2glIJ_Q	Paparazzo Brasil Paparazzi 	6qoZ4ERoRjs	1 MILH%C3%83O DE CILINDRO DE OXIG%C3%8ANIO - WHINDERSSON NUNES SOS MANAUS FELIPE NETO X TIRULIPA	1 MILH%C3%83O DE CILINDRO DE OXIG%C3%8ANIO - WHINDERSSON NUNES SOS MANAUS FELIPE NETO X TIRULIPA %0A+V%C3%8DDEO: https://www.youtube.com/watch?v=xKo-44cS4cs Ver mais...%0A%0ADiante da dram%C3%A1tica falta de oxig%C3%AAnio em unidades de sa%C3%BAde de Manaus devido %C3%A0 pandemia d Covid-19, o youtuber Whinderson Nunes organizou uma campanha de doa%C3%A7%C3%A3o de cilindos de oxig%C3%AAnio para a capital. %22Na hora de receber aplausos %C3%A9 bom, agora que precisamos de verdade ajudar as pessoas%22, disse Nunes convocando outros artistas a realizar doa%C3%A7%C3%B5es.%0A%0APelo menos cinco famosos confirmaram que ir%C3%A3o doar cilindors de oxig%C3%AAnio para pacientes com Covid-19 em Manaus. Al%C3%A9m do youtuber, reconhecido ter mais seguidores do mundo, a atriz Tat%C3%A1 Werneck, o humorista Tirulipa e o cantor Safad%C3%A3o confirmaram doar mais de 20 cilindros de 50 litros para o estado. %0A%0ADesde o %C3%ADnicio de janeiro Manaus vem sendo palco do aumento de n%C3%BAmero de casos, interna%C3%A7%C3%B5es e %C3%B3bitos por Covid-19. Hoje, o Governo do Amazonas montou um opera%C3%A7%C3%A3o de guerra, em parceria com o Minist%C3%A9rio da Defesa, para que a capital seja abastecida. %0A%0AO Governo da Venezuela tamb%C3%A9m manifestou apoio %C3%A0 a%C3%A7%C3%A3o e ir%C3%A1 doar cilindros de oxig%C3%AAnio para a capital.%0A%0A%2523Manaus %2523Cilindro %2523Oxig%C3%AAnio	2021-01-17T02:42:46Z	-3.1190275	-60.0217314	Manaus	pt
UCA46u7oSCgIelpfhpG-Qi4A	Luciano C. Rocha	fs2M9fouK5w	DESESPERO POR OXIG%C3%8ANIO NOS HOSPITAIS DE MANAUS/AM %7C 15/01/2021	* INSCREVA-SE NO CANAL E ATIVE O SINO %0A* D%C3%8A O SEU JOINHA E AJUDE O CANAL %0A* COMPARTILHE ESSE V%C3%8DDEO	2021-01-16T22:25:57Z	-3.1190275	-60.0217314	Manaus	pt
UCxW3xVYh4d5V786XjvOodww	Wesley Moreno	sajf87eR-Is	O cantor sertanejo Gusttavo Lima se engajou nas doa%C3%A7%C3%B5es de oxig%C3%AAnio	O cantor sertanejo Gusttavo Lima se engajou nas doa%C3%A7%C3%B5es de oxig%C3%AAnio para ajudar a mitigar a crise sanit%C3%A1ria que vive Manaus e mostrou hoje um Boeing sendo carregado com 150 cilindros do insumo.%0A%2523sosmanaus	2021-01-16T20:50:52Z	-3.1190275	-60.0217314	Manaus	pt
UCFIe_VITBHw5hmFxU6h-_PQ	CS TV NOT%C3%8DCIAS	yJ1Pknxu0fk	Colapso em Manaus  FILAS ENORMES  PARA PEGAR CILINDROS DE OXIG%C3%8ANIO %E2%9C%94%EF%B8%8F	EM MANAUS A SA%C3%9ADE T%C3%81 UM COLAPSO  %0AMUITAS PESSOAS SE AGLOMERAM EM FILAS ENORMES PARA PEGAR CILINDROS DE OXIG%C3%8ANIO PARA OS FAMILIARES %E2%9C%94%EF%B8%8F	2021-01-16T20:32:16Z	-3.1190275	-60.0217314	Manaus	pt-BR
UCJfHg-a1cfACyarZZI9PG4g	N%C3%ADvia Salgado	_-XyfzLywcw	Oxig%C3%AAnio para Manaus	Hoje (16/01/21) pela manh%C3%A3, familiares aguardando na fila por oxig%C3%AAnio. %F0%9F%99%8F%E2%9D%A4%EF%B8%8F%0A.%0A.%0A%2523Oxig%C3%AAnioparaManaus%0A%2523Urgente%0A%2523luto%0A%2523Pandemia%0A%2523Covid_19%0A%2523UseM%C3%A1scara%0A%2523Use%C3%81lcooleGel%0A%2523LaveasM%C3%A3os%0A%2523Wearamask%0A%2523Washhands%0A%2523DeusnosProteja%0A%2523Manaus%0A%2523Amazonas%0A%2523Brasil	2021-01-16T17:58:47Z	-3.0965967	-59.940544	Nitron da Amaz%C3%B4nia	undefined
UC4XYlRImPFwd96d_LOruuZw	Wesley Mota	oxpFlHL9QAM	Vai passar eu sei que essa luta logo vai passar Amazonas oxig%C3%AAnio urgente !	policiais significaram a fazer essa grande homenagem com a m%C3%BAsica do pastor Gerson Rufino.%0ADeus aben%C3%A7oe %F0%9F%99%8F	2021-01-16T16:03:33Z	-3.1190275	-60.0217314	Manaus	undefined
UCFIe_VITBHw5hmFxU6h-_PQ	CS TV NOT%C3%8DCIAS	zTW-h5xB_pc	GUSTAVO LIMA  MOSTRA foi ENTREGUE Os CILINDROS DE OXIG%C3%8ANIO  HOSPITAL EM MANAUS  BOEING%F0%9F%9A%81 LOTADO%E2%9C%94%EF%B8%8F	CANTOR GUSTAVO LIMA  MOSTROU em sua rede social que foram entregues para HOSPITAL EM MANAUS os CILINDROS DE OXIG%C3%8ANIO  que ele tinha prometido %0AFORAM ENTREGUES em um   BOEING fretado  por ele   LOTADO %0A%0Aparab%C3%A9ns ao CANTOR por est%C3%A1 Atitude %0A%0AINSCREVA no CANAL CSTV NOT%C3%8DCIAS ATIVE O SININHO deixa seu joinha pra Ajudar canal crescer cada vez mais%E2%9C%94%EF%B8%8F	2021-01-16T14:30:09Z	-3.1190275	-60.0217314	Manaus	pt-BR
UCq_g2GeiNxpWbJOBP8Q1ZqA	DW&BANDA	ft1PGKiKZpU	MANAUS RECEBE OXIG%C3%8ANIO	Nessa madrugada do dia 16 de janeiro de 2021, chegaram cerca de 70 mil metros c%C3%BAbicos de oxig%C3%AAnio hospitalar, para provir a rede p%C3%BAblica de sa%C3%BAde em Manaus. Veja o v%C3%ADdeo e Inscreva-se no canal.%0A%0A%E2%9E%A4 LOJA: %0Ahttp://b.link/lojayoutube%0A%0A%2523manaus %2523am %2523br %2523brasil %2523manauscity %2523sosmanaus %2523pulmaodomundo	2021-01-16T14:18:13Z	-3.1190275	-60.0217314	Manaus	pt-BR
UCklP3y_H32BmG45M7rMrGBw	Euclides Souza	uAq5dIIWcyg	Oxig%C3%AAnio chega em Manaus	Madrugada de s%C3%A1bado, 03h00 %E2%80%A2 Recebemos uma remessa com 70 mil metros cu%CC%81bicos de oxige%CC%82nio para abastecer as unidades hospitalares da capital e do interior do estado. Essa nova remessa vai nos ajudar a retomar  o equili%CC%81brio do abastecimento da nossa rede de sau%CC%81de para os pro%CC%81ximos dias.	2021-01-16T11:14:28Z	-3.1190275	-60.0217314	Manaus	undefined
UCmIdZWhygIhyJSYrdgMXYeA	INFINITY News	WcuWi8VPyWM	Manaus agradece pelo apoio dos artistas que ajudaram na doa%C3%A7%C3%A3o do oxig%C3%AAnio.		2021-01-16T09:08:26Z	-3.1190275	-60.0217314	Manaus	undefined
UC64T7CC9x18P71XclgC1Nxg	simonney souza	qa-YryAi48o	Manaus urgente! governador manda prender o dono de uma f%C3%A1brica de oxig%C3%AAnio!	%2523manaus %2523brail %2523amazonas	2021-01-15T21:48:19Z	-3.1190275	-60.0217314	Manaus	undefined
UCAMC9sVOkcyjfA2buA3S7uA	Dj Alfredo Boy Oficial Tutorias	oE28tjVUaOI	Manaus-AM:  Falta de oxig%C3%AAnio em unidades de sa%C3%BAde, provoca desespero e mortes em Manaus %2523Covid_19	Manaus-AM:  Falta de oxig%C3%AAnio em unidades de sa%C3%BAde, provoca desespero e mortes em Manaus.%0ASimplesmente acabou o oxig%C3%AAnio de toda uma unidade de sa%C3%BAde, %C3%A9 muita gente morrendo por falta de ar.%0AA diretora da Policl%C3%ADnica da Reden%C3%A7%C3%A3o faz apelo pedindo quem tiver disponibilidade de Oxig%C3%AAnio que leve at%C3%A9 a unidade de sa%C3%BAde, pois est%C3%A3o passando por um caos!%0AAcompanhe no v%C3%ADdeo a real situa%C3%A7%C3%A3o em Manaus por conta da Covid 19.%0A%2523Covid_19 %2523Manaus_em_p%C3%A2nico %2523Covid19_Manaus_2021%0AO corona v%C3%ADrus volta a ficar forte em Manaus e causa p%C3%A2nico na popula%C3%A7%C3%A3o que sofre com uma grande levada em um segundo momento.%0A@Dj Alfredo Boy Oficial Tutorias  @Moda Manaus @TV DI%C3%81RIO RECORD NEWS MANAUS 27.1	2021-01-15T18:21:24Z	-3.1190275	-60.0217314	Manaus	pt
UCJJ4KQWndy7REjvKuI0RvNg	Renan Rodrigues	JJsgFsgTO1s	Manaus pede socorro! Falta oxig%C3%AAnio	Me siga no Instagram: @sourenanrodrigues	2021-01-15T17:39:26Z	-3.1190275	-60.0217314	Manaus	pt
UCvK3C6ORUsZzmmyF1nJ1IXg	Verdade Oculta	z99pbw1WHTc	COVID-19: Falta de oxig%C3%AAnio e de consci%C3%AAncia!	Inscreva-se, curta o v%C3%ADdeo  e ative as notifica%C3%A7%C3%B5es para ficar atualizado!%0A%0ANos siga no Instagram para mais not%C3%ADcias.%F0%9F%91%87%F0%9F%8F%BB%0A%0Ahttps://instagram.com/canalverdadeoculta	2021-01-15T17:32:57Z	-3.1190275	-60.0217314	Manaus	pt-BR
UCIgq-9iZyW0gykuRGRvd-qQ	Talita conta tudo	dXV6e-JjHRg	%2523Manaus  fica sem oxig%C3%AAnio por causa do %2523coronavirus Precisa de voc%C3%AA	%2523oxig%C3%AAnioManaus%2523%0AManauspedesocorro%2523	2021-01-15T17:11:37Z	-3.051488	-60.046159	SPA e Policlinica Dr. Jos%C3%A9 de Jesus Lins de Albuquerque	undefined
UC5hvGSs5N--YdesLbunSOhw	Beatriz costa	IMYBHAvNUvs	s%C3%B3 gratid%C3%A3o meu deus%F0%9F%98%B7%F0%9F%99%8F%F0%9F%8F%BB obrigada por doar oxig%C3%AAnio  Manaus Amazonas		2021-01-15T15:02:45Z	-3.1190275	-60.0217314	Manaus	undefined
UC7nZojTO0O1bUqqy9f9j8zA	Canal Informativo	wy3gyzClJrg	Pacientes morrendo em casa, familiares bloqueiam ruas para pedir por mais oxig%C3%AAnio	https://twitter.com/dw_brasil/status/1350086128959971330?s=19	2021-01-15T14:30:17Z	-3.1190275	-60.0217314	Manaus	undefined
